Marca_temporal,Departamento,Municipio,FechaHora,Incidente,SubIncidente,Coordenadas,latitud,Longitud
2024-01-01T05:07:44.893Z,Francisco Morazan ,Distrito Central,2024-01-01T02:30:00Z,Accidente de Transito,Colisión,"14.10091530661432, -87.18239692822148",14.10091530661432,-87.18239692822148
2024-01-01T05:14:17.974Z,Francisco Morazan ,El Porvenir ,2024-01-01T02:32:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.72275728116831, -87.24290982076049",14.72275728116831,-87.24290982076049
2024-01-01T05:19:09.582Z,Francisco Morazan ,Distrito Central,2024-01-01T02:35:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.100589605377339, -87.15482130837943",14.100589605377339,-87.15482130837943
2024-01-01T05:24:32.4Z,Francisco Morazan ,Distrito Central,2024-01-01T02:37:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.079855764849167, -87.23131056846715",14.079855764849167,-87.23131056846715
2024-01-01T05:29:08.493Z,Francisco Morazan ,Distrito Central,2024-01-01T02:43:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.088333237354707, -87.1817827525305",14.088333237354707,-87.1817827525305
2024-01-01T05:33:38.899Z,Francisco Morazan ,Distrito Central,2024-01-01T02:55:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.097589970487265, -87.21497076581507",14.097589970487265,-87.21497076581507
2024-01-01T05:38:49.087Z,Francisco Morazan ,Distrito Central,2024-01-01T03:05:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.032187303122956, -87.14751889922216",14.032187303122956,-87.14751889922216
2024-01-01T05:43:48.302Z,Francisco Morazan ,Distrito Central,2024-01-01T02:45:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.112534358852857, -87.21122830907235",14.112534358852857,-87.21122830907235
2024-01-01T05:50:54.807Z,Francisco Morazan ,Distrito Central,2024-01-01T03:11:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.099658927775774, -87.14856731500716",14.099658927775774,-87.14856731500716
2024-01-01T05:55:24.771Z,Francisco Morazan ,Distrito Central,2024-01-01T03:17:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.114012925358594, -87.19693680163218",14.114012925358594,-87.19693680163218
2024-01-01T05:55:50.029Z,Francisco Morazan ,Distrito Central,2024-01-01T03:58:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.093644945140953, -87.23345428631691",14.093644945140953,-87.23345428631691
2024-01-01T05:58:59.07Z,Francisco Morazan ,Distrito Central,2024-01-01T04:00:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.073009137209185, -87.24425822374177",14.073009137209185,-87.24425822374177
2024-01-01T05:59:28.576Z,Francisco Morazan ,Distrito Central,2024-01-01T03:23:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.101081515484202, -87.2246228563887",14.101081515484202,-87.2246228563887
2024-01-01T06:02:14.328Z,Francisco Morazan ,Distrito Central,2024-01-01T04:04:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.110389309669998, -87.20568094967818",14.110389309669998,-87.20568094967818
2024-01-01T06:02:40.719Z,Francisco Morazan ,Distrito Central,2024-01-01T03:26:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.111365895918505, -87.20806018017596",14.111365895918505,-87.20806018017596
2024-01-01T06:05:12.965Z,Francisco Morazan ,Distrito Central,2024-01-01T04:10:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.04191853191471, -87.23192368380998",14.04191853191471,-87.23192368380998
2024-01-01T06:05:30.672Z,Francisco Morazan ,Distrito Central,2024-01-01T03:29:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.109107697540939, -87.20601865164615",14.109107697540939,-87.20601865164615
2024-01-01T06:07:57.594Z,Francisco Morazan ,Guaimaca ,2024-01-01T04:11:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.555258198155197, -86.83034334724186",14.555258198155197,-86.83034334724186
2024-01-01T06:09:58.337Z,El Paraiso ,El Paraíso ,2024-01-01T02:53:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.879534393435382, -86.5528396725864",13.879534393435382,-86.5528396725864
2024-01-01T06:12:39.107Z,El Paraiso ,Potrerillos ,2024-01-01T04:03:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.00397022518329, -86.76616795584165",14.00397022518329,-86.76616795584165
2024-01-01T06:14:15.019Z,La Paz ,Marcala ,2024-01-01T03:16:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.15881856700213, -88.03643886944018",14.15881856700213,-88.03643886944018
2024-01-01T06:15:42.092Z,Comayagua ,Comayagua ,2024-01-01T03:51:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.460210616490343, -87.63979926487936",14.460210616490343,-87.63979926487936
2024-01-01T06:18:22.604Z,Comayagua ,Siguatepeque ,2024-01-01T03:56:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.5957336521517, -87.8251385385684",14.5957336521517,-87.8251385385684
2024-01-01T06:22:43.34Z,Olancho ,Catacamas ,2024-01-01T03:03:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.840891998433662, -85.90113456482453",14.840891998433662,-85.90113456482453
2024-01-01T06:27:02.287Z,Comayagua ,Comayagua ,2024-01-01T02:32:00Z,Delitos Contra la Niñez Adolescencia,Maltrato Familiar,"14.443067376006162, -87.6446486132058",14.443067376006162,-87.6446486132058
2024-01-01T06:30:36.466Z,La Paz ,La Paz ,2024-01-01T01:15:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.419074497606656, -88.95589111460333",14.419074497606656,-88.95589111460333
